id,value
0,847030
1,548064
2,299873
3,922472
4,936601
5,174365
6,76382
7,22896
8,882989
9,340423
10,701205
11,479493
12,409691
13,90509
14,749618
15,417003
16,366465
17,801325
18,920473
19,225586
20,2006
21,550455
22,170146
23,237848
24,420181
25,683386
26,998096
27,411930
28,203025
29,766610
30,652837
31,950869
32,200261
33,357509
34,59403
35,672232
36,782999
37,796123
38,82821
39,857048
40,438345
41,529594
42,336861
43,253366
44,442018
45,316943
46,123292
47,887304
48,487660
49,30059
50,244117
51,343237
52,574383
53,666148
54,367706
55,214814
56,158217
57,617578
58,349518
59,499785
60,558420
61,206957
62,409032
63,814166
64,876293
65,988458
66,346764
67,435027
68,231910
69,340810
70,48719
71,346272
72,953344
73,433036
74,370342
75,658045
76,463278
77,730944
78,118020
79,997917
80,999508
81,830526
82,253410
83,730840
84,978704
85,553856
86,634344
87,154869
88,766866
89,923708
90,575783
91,140927
92,855314
93,845071
94,265286
95,37463
96,957597
97,64869
98,599664
99,44614
