id,value
0,603611
1,826113
2,995642
3,36872
4,642222
5,411630
6,957106
7,256886
8,166367
9,185056
10,765947
11,349304
12,820099
13,274955
14,513225
15,76232
16,438097
17,728013
18,847841
19,857865
20,283942
21,226946
22,400124
23,313296
24,480123
25,721903
26,659595
27,187843
28,537732
29,767385
30,47419
31,123492
32,754207
33,193616
34,300028
35,706538
36,389061
37,109455
38,437630
39,235361
40,950390
41,133391
42,529799
43,691245
44,629055
45,179768
46,190045
47,466489
48,902790
49,89358
50,232271
51,506579
52,599079
53,886526
54,204227
55,656962
56,253506
57,469662
58,576566
59,170043
60,429380
61,97214
62,210803
63,524270
64,774784
65,118575
66,355502
67,934745
68,984814
69,17231
70,827194
71,193570
72,509603
73,983003
74,221040
75,768178
76,802837
77,910870
78,965955
79,407202
80,140844
81,935786
82,789916
83,855953
84,558883
85,356049
86,693361
87,667378
88,249183
89,72214
90,842107
91,509415
92,844315
93,474201
94,885910
95,815937
96,369882
97,46143
98,84781
99,106022
